event_id,year,division_canon,division_category,place,competitor_type,person_id,team_person_key,person_canon,team_display_name,coverage_flag,person_unresolved,norm,division_raw
1990_worlds,1990,Women's Singles Net,net,3,player,2224d6ba-5be4-56a5-90e1-aaa61a15bcb0,,Jodi Sebastian,,partial,0,women s sgls net,Women's Sgls Net
1991_worlds,1991,Men's Overall,net,1,player,95643c20-ec23-57a5-a742-5b44534ae959,,Brent Welch,,partial,0,men s overall,Men's Overall
1991_worlds,1991,Mixed Doubles Net,net,1,team,,26349aa8-a1ff-5e6a-bff5-f93a89d20c68|e7b054cf-d4f7-56cb-aafb-26a313fbbc14,__NON_PERSON__,Tricia George / Dave Robinson,partial,0,mixed dbls net,Mixed Dbls Net
1991_worlds,1991,Mixed Doubles Net,net,2,team,,eccb075a-3997-5288-a805-774d358f5656|ca63a7da-a00a-5a83-ae43-2e17b5758fc8,__NON_PERSON__,Nancy Reynolds / Mag Hughes,partial,0,mixed dbls net,Mixed Dbls Net
1991_worlds,1991,Mixed Doubles Net,net,3,team,,669a3821-2547-5215-9edd-7965ff400e69|2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,__NON_PERSON__,Linda Burt / Kenneth Shults,partial,0,mixed dbls net,Mixed Dbls Net
1991_worlds,1991,Open Doubles Consecutive,net,1,team,,b7c2a69b-7547-5ee6-936e-b675c748d131|fb644300-e5a4-51ca-962f-e59dad795b03,__NON_PERSON__,Jack Schoolcraft / Pat Castle,partial,0,open dbls consecutive,Open Dbls Consecutive
1991_worlds,1991,Open Doubles Consecutive,net,2,team,,a6e260ae-74e5-5ef5-8b20-d7c2fbd65b83|84641a6f-36d4-5857-af3f-827b1f57102f,__NON_PERSON__,Jon Lind / Dennis Ross,partial,0,open dbls consecutive,Open Dbls Consecutive
1991_worlds,1991,Open Doubles Consecutive,net,3,team,,8959d778-41d3-554e-a831-6e1f73534b0f|e7b054cf-d4f7-56cb-aafb-26a313fbbc14,__NON_PERSON__,Chris Ott / Dave Robinson,partial,0,open dbls consecutive,Open Dbls Consecutive
1991_worlds,1991,Open Doubles Net,net,1,team,,e7b054cf-d4f7-56cb-aafb-26a313fbbc14|b54020bc-1a1a-5d23-89e1-34617b3514fa,__NON_PERSON__,Dave Robinson / Jim Fitzgerald,partial,0,open dbls net,Open Dbls Net
1991_worlds,1991,Open Doubles Net,net,2,team,,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f|d75b5871-83c1-5284-b09d-a5eb5d4377dd,__NON_PERSON__,Kenneth Shults / Mike Harding,partial,0,open dbls net,Open Dbls Net
