event_id,division_canon,person_canon,places,message
1021665982,Novice,Drew Martin,"[2, 4]","[sub_round] event=1021665982 div='Novice' person='Drew Martin' places=[2, 4] (pool/heat/round-robin)"
1021665982,Novice,Matt Isanuk,"[2, 5]","[sub_round] event=1021665982 div='Novice' person='Matt Isanuk' places=[2, 5] (pool-play-heavy event)"
1021665982,Novice,Jonathan Felix,"[3, 5]","[sub_round] event=1021665982 div='Novice' person='Jonathan Felix' places=[3, 5] (pool/heat/round-robin)"
1021665982,Novice,Theodore Fritsch,"[1, 3]","[sub_round] event=1021665982 div='Novice' person='Theodore Fritsch' places=[1, 3] (pool/heat/round-robin)"
1021665982,Novice,Ben Kellman,"[2, 4]","[sub_round] event=1021665982 div='Novice' person='Ben Kellman' places=[2, 4] (pool/heat/round-robin)"
1058877971,Open,Jonathan Schneider,"[1, 2]","[adjacent_podium] event=1058877971 div='Open' person='Jonathan Schneider' places=[1, 2] (dual-division or heat/final)"
1069929277,Open Singles Freestyle,Tuan Vu,"[21, 31]","[sub_round] event=1069929277 div='Open Singles Freestyle' person='Tuan Vu' places=[21, 31] (pool-play-heavy event)"
1092073845,Open Freestyle,Pavel Cerveny,"[5, 7]","[sub_round] event=1092073845 div='Open Freestyle' person='Pavel Cerveny' places=[5, 7] (pool/heat/round-robin)"
1092073845,Open Freestyle,Martin Sladek,"[5, 7]","[sub_round] event=1092073845 div='Open Freestyle' person='Martin Sladek' places=[5, 7] (pool/heat/round-robin)"
1096318324,Shred 30,Dylan Johnson,"[5, 6]","[sub_round] event=1096318324 div='Shred 30' person='Dylan Johnson' places=[5, 6] (pool/heat/round-robin)"
1096318324,Shred 30,James Randall,"[2, 4]","[sub_round] event=1096318324 div='Shred 30' person='James Randall' places=[2, 4] (pool/heat/round-robin)"
1096318324,Shred 30,Sunny Freeman-Genz,"[2, 4]","[sub_round] event=1096318324 div='Shred 30' person='Sunny Freeman-Genz' places=[2, 4] (pool/heat/round-robin)"
1096318324,Shred 30,Kevin Crowley,"[3, 6]","[sub_round] event=1096318324 div='Shred 30' person='Kevin Crowley' places=[3, 6] (pool/heat/round-robin)"
1096318324,Shred 30,Dan Reed,"[1, 3]","[sub_round] event=1096318324 div='Shred 30' person='Dan Reed' places=[1, 3] (pool/heat/round-robin)"
1096318324,Sick 3,Nate Linscott,"[1, 6]","[sub_round] event=1096318324 div='Sick 3' person='Nate Linscott' places=[1, 6] (pool-play-heavy event)"
1096318324,Sick 3,Jim Penske,"[3, 4]","[sub_round] event=1096318324 div='Sick 3' person='Jim Penske' places=[3, 4] (pool/heat/round-robin)"
1096318324,Sick 3,Ricky Moran,"[4, 6]","[sub_round] event=1096318324 div='Sick 3' person='Ricky Moran' places=[4, 6] (pool/heat/round-robin)"
1096318324,Sick 3,Daryl Genz,"[2, 5]","[sub_round] event=1096318324 div='Sick 3' person='Daryl Genz' places=[2, 5] (pool-play-heavy event)"
1114277529,Intermediate Freestyle,Honza Weber,"[2, 3]","[adjacent_podium] event=1114277529 div='Intermediate Freestyle' person='Honza Weber' places=[2, 3] (dual-division or heat/final)"
1114277529,Intermediate Freestyle,Vaclav Klouda,"[1, 2]","[adjacent_podium] event=1114277529 div='Intermediate Freestyle' person='Vaclav Klouda' places=[1, 2] (dual-division or heat/final)"
1114277529,Intermediate Freestyle,Ales Zelinka,"[1, 3]","[sub_round] event=1114277529 div='Intermediate Freestyle' person='Ales Zelinka' places=[1, 3] (pool/heat/round-robin)"
